name_adress,house,flat,sqrt_m,number_date,
"4-этажный дом, Гурьевский м.о., пос. Невское, ул. Гурьевская, д. 20                                        ООО ""СЗ ""Бюро недвижимости Калининград""",1,16,1147,№ 39-03-152-2022                                               от 21.11.2022,
"9-этажный дом, г. Гурьевск, пер. Байдукова, д. 4                                                                      ООО ""СЗ Делорад""",1,90,5485,№ 39-03-150-2022                                               от 18.11.2022,
"4-этажный дом, Гурьевский район, п. Орловка, ул. Новая, д. 44                                                                                               Никитишин А.Д.",1,64,3267,№ 39-03-210-2022                                        от 02.12.2022,
"5-этажный дом, Гурьевский м.о., пос. Большое Исаково, ул. В.Сухомлинского, д. 1                      ООО ""СЗ ""КПД Строй""",1,40,2416,№ 39-03-224-2022                                        от 08.12.2022,
"5-этажный дом, Гурьевский м.о., пос. Большое Исаково, ул. В.Сухомлинского, д. 1, корп. 1                        ООО ""СЗ ""КПД Строй""",1,40,2421,№ 39-03-225-2022                                        от 08.12.2022,
"4-этажный дом, Гурьевскийм.о., пос. Прибрежное, ул. Южное полукольцо, д. 6, корп. 3                ООО ""СЗ ""В.Н.""",1,64,2760,№ 39-03-267-2022                                        от 20.12.2022,
в т.ч. жилые дома блокированной застройки:,186,186,18899,,
Гусевский городской округ,1,14,816,,
многоквартирные дома:,1,14,816,,
"3-этажный дом, Гусевский район, г. Гусев, ул. Ульяновых, д. 5                                                                                               Мишнев В.В.",1,14,816,№ 39-04-217-2022                                        от 07.12.2022,
Зеленоградский муниципальный округ,157,1424,80522,,
многоквартирные дома:,20,1287,64580,,
"4-этажный 57-квартирный (проч.мат.) дом, ул. Гризодубовой, д. 1, к. 1
ООО ""СЗ ""Бриз"" ЭКОНОМ",1,57,2600,"№ 39-RU39320000-109-2020
от 17.01.2022",
"4-этажный 57-квартирный (проч.мат.) дом, ул. Гризодубовой, д. 1, к. 3
ООО ""СЗ ""Бриз"" ЭКОНОМ",1,57,2456,"№ 39-RU39320000-109-2020
от 17.01.2022",
"6-этажный 144-квартирный (проч.мат.) дом, ул. Римская, д. 5
ООО ""СЗ """"Балтикремкомплект"" ЭКОНОМ",3,144,7493,"№ 39-RU39320000-128-2019
от 11.01.2022",
"4-этажный 18-квартирный (проч.мат.) дом, ул. Волонтеров д. 22, к. 1
ООО ""СЗ ""ЗЕЛ"" ЭКОНОМ",1,18,1048,"№ 39-RU39320000-308-2020
от 08.02.2022",
"4-этажный 18-квартирный (проч.мат.) дом, ул. Волонтеров д. 22, к. 2
ООО ""СЗ ""ЗЕЛ"" ЭКОНОМ",1,18,1043,"№ 39-RU39320000-309-2020
от 08.02.2022",
"9-этажный 72-квартирный (проч.мат) дом, Зеленоградский городской округ, поселок Сальское, ул.Молодежная, д.3, корп. 5                                                                                                              ООО ""СЗ ""Эллипс""",1,72,3325,№ 39-RU39320000-212-2015        от 26.07.2022,
"9-этажный 72-квартирный (проч.мат) дом, Зеленоградский городской округ, поселок Сальское, ул.Молодежная, д.4, корп. 1                                                                                                              ООО ""СЗ ""Эллипс""",1,72,3315,,
"6- этажный (проч.мат) дом, Зеленоградский район, пос. Малиновка, ул. Римская, д.4                                                                                                                                         ООО ""СЗ ""БАЛТИКРЕМКОМПЛЕКТ""",1,96,4962,№ 39-RU39303000-331-2022                         от 16.08.2022,
"6- этажный (проч.мат) дом, Зеленоградский район, пос. Малиновка, ул. Римская, д.5                                                                                                                                         ООО ""СЗ ""БАЛТИКРЕМКОМПЛЕКТ""",1,48,2483,,
"2-этажный дом, г. Зеленоградск, ул. Балтийская, д. 38",1,2,481,№ 39-05-010-2022                           от 13.09.2022,
"4-этажный дом, г. Зеленоградск, ул. Волонтеров д. 22 корпус 4                                                                                                            ООО ""СЗ ""ЗЕЛ""",1,32,1592,№ 39-05-056-2022                                        от 10.10.2022,
"4-этажный дом, г. Зеленоградск, ул. Волонтеров д. 22 корпус3                                                                                                            ООО ""СЗ ""ЗЕЛ""",1,32,1491,№ 39-05-057-2022                                        от 10.10.2022,
"9-этажный дом, г. Зеленоградск, ул. Приморская, д. 31                                                                                               ООО ""СЗ ""Ривьера""",1,269,12423,№ 39-05-097-2022                                        от 24.10.2022,
"5-этажный дом, Зеленоградский г.о., пос. Заостровье, ул. Пионерская, д. 3А                                ООО ""Холм весны 2""",1,32,1792,№ 39-05-156-2022                                        от 22.11.2022,
"4-этажный дом, Зеленоградский район, п. Заостровье, пер. Сиреневый, д. 1                                                                                               Суханин Ю.В.",1,40,1525,№ 39-05-213-2022                                        от 05.12.2022,
"9-этажный дом, Зеленоградский район, г. Зеленоградск, ул. Тургенева, д. 16А                                                                                               ООО ""МПК-ИНВЕСТ""",1,170,9343,№ 39-05-231-2022                                        от 09.12.2022,
"4-эиажный дом, Зеленгорадский м.о., пос. Холмогоровка, ул. Счастливая, д. 6, корп. 2                      ООО ""СЗ ""Еврострой Инвест""",1,64,3610,№ 39-05-277-2022                                        от 20.12.2022,
"4-эиажный дом, Зеленгорадский м.о., пос. Холмогоровка, ул. Счастливая, д. 6, корп. 1                      ООО ""СЗ ""Еврострой Инвест""",1,64,3598,№ 39-05-278-2022                                        от 20.12.2022,
в т.ч. жилые дома блокированной застройки:,137,137,15942,,
Краснознаменский муниципальный округ,0,0,0,,
Ладушкинский городской округ,0,0,0,,
Мамоновский городской округ,0,0,0,,
Неманский муниципальный округ,0,0,0,,
Нестеровский муниципальный округ,0,0,0,,
Озерский муниципальный округ,0,0,0,,
Пионерский городской округ,9,838,38052,,
многоквартирные дома:,9,838,38052,,
"6-этажный 40-квартирный (проч.мат.) дом ул. Комсомольская, 54, г. Пионерский                                                     Труш П.В.",1,40,1928,"№ 39-RU39303000-241-2021
от 07.04.2022",
"5-этажный (проч.мат.) дом, Пионерский г.о., ул. Октябрьская, д.3Б, корпус 1                                                                                                             ООО ""СТРУКТУРА""",1,50,2257,№ 39-RU39303000-259-2021                           от 01.08.2022,
"6- этажный (проч.мат) дом, Пионерский г.о., ул. Гептнера, д.9, корпус 1                                                                                                      ООО ""НИВЕЛИР-ЗАПАД""",1,96,4559,№ 39-RU39303000-331-2022                         от 16.08.2022,
"6-этажный дом, г. Пионерский, ул. Гептнера, д. 11                                                                                                            ООО ""СЗ ""Нивелир-Запад""",1,96,4557,№ 39-19-043-2022                           от 29.09.2022,
"6-этажный дом, г. Пионерский, ул. Гептнера, д. 13                                                                                                            ООО ""СЗ ""Нивелир-Запад""",1,96,4548,№ 39-19-042-2022                           от 29.09.2022,
"5-этажный дом г. Пионерский, ул. Октябрьская, д. 6                                                              ООО ""СЗ ПСК-Строй""",1,136,6468,№ 39-19-171-2022                                                       от 29.11.2022,
"7-этажный дом, г. Пионерский, ул. Октябрьская, д. 2А, корп.1                                              ООО ""СЗ ""СК Макрострой""",1,126,3843,№ 39-19-265-2022                                        от 19.12.2022,
"7-этажный дом, г. Пионерский, ул. Октябрьская, д. 2А, корп.2                                              ООО ""СЗ ""СК Макрострой""",1,42,1562,,
"6-этажный дом, г. Пионерский, ул. Октябрьская, д. 8                                                                           ООО ""СЗ Пионерский""",1,156,8330,№ 39-19-279-2022                                        от 21.12.2022,
Полесский муниципальный округ,1,36,1332,,
многоквартирные дома:,1,36,1332,,
"3-этажный дом, Полесский м.о., пос. Залесье, ул. Молодежная, д. 1                                           ООО ""Каштановка""",1,36,1332,№ 39-10-266-2022                                        от 20.12.2022,
Правдинский муниципальный округ,0,0,0,,
Светловский городской округ,0,2,265,,
многоквартирные дома:,0,2,265,,
"1-этажный (проч.мат.) дом, ул. Толобухина, д. 10
Чабан Н.П.",0,2,265,"№ 39-RU39309000-025-2014
от 16.02.2022",
Светлогорский район,32,1289,65403,,
многоквартирные дома:,26,1283,65403,,
"5-этажный 32-квартирный (кирп.) дом, ул. Балтийская, д. 13
ООО ""СЗ ""Сатурн"" ЭКОНОМ",1,32,1560,"№ 39-RU39329000-432-2020
от 30.12.2021",
"8-этажный 151-квартирный (проч.мат.) дом, ул. Олимпийский б-р, д. 4
ООО ""Светлогорская горка"" ЭКОНОМ",1,151,8542,"№ 39-RU39329000-014-2017
от 30.12.2021",
